player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
Frans Steyn,C,2006-07,12.80%,-,-,7' 1.25'',7' 2.5'',9' 1'',280,7' 2.25'',11.67,-,3.38,28.5,29.5,-
Curtis Stinson,SG,2006-07,6.00%,-,-,6' 1.75'',6' 2.75'',8' 1.5'',208,6' 5'',10.95,-,3.27,28,31.5,17
Tyrus Thomas,PF-SF,2006-07,5.60%,-,-,6' 7.25'',6' 8.25'',9' 0'',217,7' 3'',11.36,-,3.2,34,39.5,8
Joah Tucker,SF-SG,2006-07,7.00%,-,-,6' 3.75'',6' 5.25'',8' 3.5'',224,6' 6.5'',11.58,-,3.31,29,34,19
Ian Vouyoukas,C-PF,2006-07,14.80%,-,-,6' 8.5'',6' 9.5'',9' 0.5'',267,7' 0.75'',13.7,-,3.72,23,28,8
Darius Washington,PG,2006-07,9.70%,-,-,5' 11.5'',6' 1'',8' 0'',195,6' 4'',10.71,-,3.26,29,37.5,9
CJ Watson,PG,2006-07,5.20%,-,-,6' 0.5'',6' 1.75'',8' 0'',171,6' 6'',11.61,-,3.15,31.5,34,12
Marcus Williams,PG,2006-07,12.40%,-,-,6' 2'',6' 3.25'',8' 1.5'',215,6' 7'',11.3,-,3.4,24.5,28,4
Shawne Williams,SF-PF,2006-07,8.00%,-,-,6' 7.25'',6' 8.75'',8' 8'',227,7' 3'',10.69,-,3.3,32,31,-
Justin Williams,C-PF,2006-07,6.50%,-,-,6' 7.25'',6' 8.75'',9' 1'',211,7' 1.5'',11.9,-,3.31,26.5,31.5,7
Shelden Williams,PF-C,2006-07,11.40%,-,-,6' 7.5'',6' 8.5'',8' 8'',258,7' 4.25'',11.53,-,3.59,29,33.5,25
Eric Williams,C-PF,2006-07,13.00%,-,-,6' 7.25'',6' 8.75'',8' 10.5'',285,7' 4.25'',11.71,-,3.56,28.5,29,17
Curtis Withers,PF-SF,2006-07,5.00%,-,-,6' 6'',6' 6.5'',8' 5'',227,6' 10'',11.54,-,3.1,35,36.5,14
Mohamed Abukar,SF,2007-08,8.90%,-,-,6' 8'',6' 9.75'',8' 7'',210,6' 9'',11.78,-,3.37,30.5,35,15
Mario Boggan,PF,2007-08,9.20%,-,-,6' 5'',6' 7'',8' 11'',240,7' 2'',12.18,-,3.45,24,26.5,12
Craig Bradshaw,PF,2007-08,12.10%,-,-,6' 8'',6' 9.75'',8' 10.5'',240,7' 1.5'',11.88,-,3.54,26,28,12
Corey Brewer,SF-SG,2007-08,4.20%,-,-,6' 6'',6' 7.75'',8' 7'',185,6' 8.25'',11.69,-,3.22,30.5,36.5,11
Aaron Brooks,PG,2007-08,2.70%,-,-,5' 10'',5' 11.75'',7' 10'',161,6' 4'',10.57,-,3.2,32.5,39.5,6
Bobby Brown,PG,2007-08,6.60%,-,-,5' 11'',6' 1.75'',7' 11.5'',170,6' 4'',11.27,-,3.25,32.5,41,3
Russell Carter,SG,2007-08,6.00%,-,-,6' 3'',6' 4.5'',8' 1.5'',221,6' 8.5'',11.61,-,3.29,33,38.5,25
Coleman Collins,PF,2007-08,6.20%,-,-,6' 8'',6' 9.75'',8' 11'',236,7' 2'',11.47,-,-,30,35,21
Mike Conley,PG,2007-08,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75'',11.63,-,3.09,35.5,40.5,13
Daequan Cook,SG,2007-08,7.00%,-,-,6' 3'',6' 5.75'',8' 5.5'',203,6' 8.25'',11.12,-,3.22,30,34.5,4
Ryvon Covile,C-PF,2007-08,8.00%,-,-,6' 7'',6' 8.5'',8' 11.5'',250,7' 1.25'',12.52,-,3.37,25,30.5,19
Javaris Crittenton,PG,2007-08,4.50%,-,-,6' 3'',6' 4.75'',8' 2'',194,6' 5.5'',11.6,-,3.32,32.5,38,11
Jermareo Davidson,PF,2007-08,6.90%,-,-,6' 9'',6' 11'',9' 1.5'',230,7' 4'',12.63,-,3.53,27,30,7
Justin Doellman,PF,2007-08,7.00%,-,-,6' 8'',6' 9.5'',8' 9'',205,6' 8.75'',-,-,-,-,-,19
Zabian Dowdell,PG,2007-08,5.10%,-,-,6' 1'',6' 3'',8' 4'',191,6' 10'',11.13,-,3.29,30,33.5,3
Jared Dudley,SF,2007-08,7.10%,-,-,6' 5'',6' 7.25'',8' 6'',219,6' 7'',11.32,-,3.45,28,32,14
Kevin Durant,SF-PF,2007-08,6.60%,-,-,6' 9'',6' 10.25'',9' 2'',215,7' 4.75'',12.33,-,3.45,26,33.5,-
Rashaun Freeman,PF,2007-08,11.50%,-,-,6' 6'',6' 8'',8' 8'',244,6' 11.5'',11.43,-,3.41,28,32,20
Aaron Gray,C,2007-08,10.80%,-,-,7' 0'',7' 1.75'',9' 0.5'',271,7' 3.25'',12.07,-,3.7,27,32.5,17
Caleb Green,PF,2007-08,10.90%,-,-,6' 6'',6' 8'',8' 7'',238,6' 11.75'',11.72,-,3.46,28.5,36,9
Jeff Green,SF,2007-08,3.70%,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25'',12,-,3.34,33.5,38,17
Taurean Green,PG,2007-08,4.60%,-,-,5' 11'',6' 0.75'',8' 0'',173,6' 2.25'',11.3,-,3.26,29,32.5,8
Spencer Hawes,PF,2007-08,13.00%,-,-,6' 10'',7' 0.75'',9' 2'',244,7' 0.5'',11.88,-,3.51,26,29,9
Brandon Heath,PG,2007-08,9.00%,-,-,6' 2'',6' 3.75'',7' 10'',181,6' 7'',11.39,-,3.28,32,36,11
Herbert Hill,C,2007-08,5.60%,-,-,6' 7'',6' 9.75'',9' 0.5'',232,7' 2.25'',12.31,-,3.39,30.5,34,15
Al Horford,PF,2007-08,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246,7' 0.75'',12.15,-,3.37,31,35.5,20
Quinton Hosley,SF-SG,2007-08,5.70%,-,-,6' 5'',6' 7.75'',8' 9'',215,6' 11.25'',12.47,-,3.32,28.5,34,12
James Hughes,C,2007-08,3.50%,-,-,6' 9'',6' 10.75'',9' 3'',209,7' 3'',13.31,-,3.37,31,33,8
Jeremy Hunt,SG,2007-08,5.20%,-,-,6' 2'',6' 4.75'',8' 5.5'',198,6' 8.25'',12.11,-,3.29,30.5,33,10
Ekene Ibekwe,PF,2007-08,3.20%,-,-,6' 8'',6' 9'',8' 8'',208,7' 6'',11,-,3.28,34.5,39,10
Dominic James,PG,2007-08,4.80%,-,-,5' 10'',5' 11.75'',7' 9'',175,6' 2'',10.94,-,3.11,33.5,38.5,14
Trey Johnson,SG,2007-08,5.40%,-,-,6' 3'',6' 5.75'',8' 2'',216,6' 5'',11.78,-,3.31,26.5,35,18
Rashad Jones-Jennings,PF,2007-08,5.90%,-,-,6' 6'',6' 7.5'',8' 9.5'',235,7' 0'',12.18,-,3.29,25,30,20
Jared Jordan,PG,2007-08,7.00%,-,-,6' 0'',6' 1.75'',7' 10'',183,6' 0'',11.02,-,3.39,24.5,28.5,6
Coby Karl,SG-PG,2007-08,5.40%,-,-,6' 3'',6' 4.75'',8' 3.5'',204,6' 11'',11.57,-,3.41,32,34.5,9
Antanas Kavaliauskas,PF,2007-08,7.70%,-,-,6' 9'',6' 10.5'',8' 10.5'',237,6' 10.5'',11.19,-,3.42,25.5,30,19
Carl Landry,PF,2007-08,7.50%,-,-,6' 7'',6' 8.5'',8' 6.5'',248,6' 11'',11.35,-,3.29,31.5,36.5,21
Stephane Lasme,PF,2007-08,4.90%,-,-,6' 5'',6' 7'',8' 11'',213,7' 2'',11.73,-,3.22,29.5,36,17
Acie Law,PG,2007-08,5.60%,-,-,6' 2'',6' 3.5'',8' 2'',186,6' 6.5'',11,-,3.22,29,34,8
Marko Lekic,C,2007-08,11.40%,-,-,6' 9'',6' 10.5'',9' 0.5'',267,7' 1'',11.96,-,3.43,24,30.5,19
Ron Lewis,SG,2007-08,4.50%,-,-,6' 2'',6' 4.5'',8' 3'',194,6' 6.5'',11.59,-,3.22,33,38,16
Cartier Martin,SF,2007-08,5.60%,-,-,6' 4'',6' 6.5'',8' 7.5'',218,6' 10'',12.1,-,3.43,27,29.5,11
Dominic McGuire,SF,2007-08,4.70%,-,-,6' 7'',6' 8.25'',8' 8'',220,6' 10.5'',10.95,-,3.25,28.5,34.5,12
Josh McRoberts,PF,2007-08,13.70%,-,-,6' 8'',6' 10'',8' 10.5'',240,7' 1'',11.7,-,3.47,27.5,31.5,12
Sammy Mejia,SG,2007-08,8.30%,-,-,6' 5'',6' 7'',8' 9'',218,6' 11'',11.87,-,3.49,27,31.5,7
Brad Newley,SG,2007-08,8.00%,-,-,6' 5'',6' 6.5'',8' 6.5'',201,6' 8'',11.77,-,3.29,29.5,31.5,3
Demetris Nichols,SF,2007-08,6.20%,-,-,6' 6'',6' 7.5'',8' 9'',211,7' 0.25'',10.39,-,3.38,28.5,32.5,16
Joakim Noah,PF,2007-08,4.80%,-,-,6' 10'',7' 0'',8' 10.5'',223,7' 1.25'',11.79,-,3.47,32.5,37.5,12
Greg Oden,C,2007-08,7.80%,-,-,6' 11'',7' 0'',9' 4'',257,7' 4.25'',11.67,-,3.27,32,34,-
Ivan Radenovic,PF,2007-08,9.80%,-,-,6' 9'',6' 10.75'',8' 10'',226,6' 11.75'',11.61,-,3.6,23,28,7
JR Reynolds,PG,2007-08,8.20%,-,-,6' 0'',6' 2.75'',7' 11'',188,6' 3.25'',11.69,-,3.24,27.5,34.5,15
Chris Richard,PF,2007-08,7.50%,-,-,6' 7'',6' 8.75'',9' 2.5'',252,7' 4.5'',11.39,-,3.29,26.5,30.5,15
Dustin Salisbery,SG,2007-08,6.60%,-,-,6' 3'',6' 4.75'',8' 4.5'',208,6' 8'',11.07,-,3.12,34,38,11
Blake Schilb,SG,2007-08,10.00%,-,-,6' 5'',6' 7'',8' 6.5'',214,6' 9'',11.63,-,3.36,26.5,33.5,11
Renaldas Seibutis,SG,2007-08,6.10%,-,-,6' 4'',6' 5.75'',8' 5'',185,6' 8.75'',11.33,-,3.39,24,32.5,1
Ramon Sessions,PG,2007-08,6.20%,-,-,6' 2'',6' 3.75'',8' 1.5'',185,6' 4.25'',11.65,-,3.27,29.5,33.5,8
Mustafa Shakur,PG,2007-08,4.10%,-,-,6' 3'',6' 4.5'',8' 3'',185,6' 5.5'',11.82,-,3.27,28.5,35,11
Jason Smith,PF,2007-08,7.50%,-,-,6' 10.75'',6' 11.5'',8' 10'',233,6' 10.75'',10.96,-,3.29,33.5,37.5,15
DJ Strawberry,SG,2007-08,4.50%,-,-,6' 3.75'',6' 5'',8' 5'',199,6' 6.5'',10.87,-,3.14,28.5,35,21
Rodney Stuckey,SG-PG,2007-08,6.10%,-,-,6' 3.75'',6' 4.5'',8' 4.5'',207,6' 7.25'',11.34,-,3.11,30.5,35,14
Curtis Sumpter,SF,2007-08,5.30%,-,-,6' 6'',6' 7.75'',8' 8'',227,6' 9.5'',11.3,-,3.22,27.5,32.5,12
Yue Sun,SF,2007-08,5.10%,-,-,6' 7.75'',6' 8.75'',8' 9'',212,6' 9'',10.68,-,3.45,29,34,9
Jamaal Tatum,PG,2007-08,5.00%,-,-,5' 11.5'',6' 0.75'',7' 9.5'',168,6' 2.5'',11.51,-,3.22,28.5,33,7
Reyshawn Terry,SF,2007-08,8.90%,-,-,6' 6.75'',6' 7.5'',8' 7.5'',222,6' 10'',11.76,-,3.26,31,37.5,18
Al Thornton,SF,2007-08,5.80%,-,-,6' 5.75'',6' 7'',8' 8'',221,7' 1'',11.96,-,3.16,35,41,9
Anthony Tolliver,PF,2007-08,5.70%,-,-,6' 7'',6' 8.5'',8' 11.5'',242,7' 2.5'',11.49,-,3.29,28.5,30,21
Ali Traore,C-PF,2007-08,12.10%,-,-,6' 8.75'',6' 9.75'',9' 0.5'',249,7' 4'',12.16,-,3.52,25,29,11
Kyle Visser,C,2007-08,10.20%,-,-,6' 10'',6' 11.5'',9' 0'',242,6' 11'',12.6,-,3.39,26,29,18
Darryl Watkins,C,2007-08,6.90%,-,-,6' 8.75'',6' 10.25'',9' 2'',241,7' 3'',11.65,-,3.56,26.5,31,14
Major Wingate,C,2007-08,6.70%,-,-,6' 8.5'',6' 10.75'',9' 1'',242,7' 4'',12.14,-,3.47,27.5,30.5,15
DaShaun Wood,PG,2007-08,5.40%,-,-,5' 10.75'',5' 11.5'',7' 8'',167,6' 0.75'',11.4,-,3.23,31.5,34.5,13
Julian Wright,SF-PF,2007-08,6.10%,-,-,6' 6.5'',6' 8.5'',9' 0'',211,7' 2.25'',11.48,-,3.36,28.5,33.5,2
Brandan Wright,PF,2007-08,5.80%,-,-,6' 8.75'',6' 10'',9' 0.5'',200,7' 3.75'',11.76,-,3.31,30.5,35.5,2
Avis Wyatt,PF,2007-08,3.30%,-,-,6' 8.75'',6' 9.5'',8' 11'',212,7' 1'',11.46,-,3.23,27.5,32,12
Jianlian Yi,,2007-08,-%,-,-,,,,-,,-,-,-,-,-,-
Nick Young,SG-SF,2007-08,6.80%,-,-,6' 5'',6' 6.75'',8' 4.5'',206,7' 0'',11,-,3.25,39.5,40.5,6
Thaddeus Young,SF,2007-08,4.90%,-,-,6' 5.75'',6' 7.5'',8' 10'',210,6' 11.5'',11.06,-,3.19,34.5,37,13
Joe Alexander,SF-PF,2008-09,5.80%,-,-,6' 7.25'',6' 8.25'',8' 10'',220,6' 11.5'',11.33,-,2.99,32.5,38.5,24
Darrell Arthur,PF,2008-09,7.30%,-,-,6' 7.5'',6' 8.5'',8' 11'',216,6' 10.75'',12.18,-,3.14,28.5,30,12
D.J. Augustin,PG,2008-09,8.10%,-,-,5' 10'',5' 11.5'',7' 10.5'',171.5,6' 3.5'',11.27,-,3.07,28.5,35,2
Jerryd Bayless,PG-SG,2008-09,4.70%,-,-,6' 1.75'',6' 3'',8' 1'',204,6' 3.5'',11.26,-,3.07,31,38,10
Michael Beasley,PF-SF,2008-09,7.70%,-,-,6' 7'',6' 8.25'',8' 11'',239,7' 0.25'',11.06,-,3.24,30,35,19
Ramel Bradley,PG-SG,2008-09,5.70%,-,-,6' 1.25'',6' 2.25'',8' 2'',184,6' 5'',10.68,-,3.24,24.5,29.5,9
Tyrone Brazelton,PG,2008-09,8.10%,-,-,5' 10'',5' 11'',7' 10'',166,6' 1.75'',11.59,-,3.25,30,34,8
Takais Brown,PF,2008-09,9.20%,-,-,6' 7.25'',6' 8.5'',8' 10'',252,6' 10'',12.47,-,3.25,29,31,22
Keith Brumbaugh,SF-PF,2008-09,4.00%,-,-,6' 7.5'',6' 8.75'',8' 8.5'',190,6' 7.25'',11.65,-,3.28,26,27,2
Stanley Burrell,PG,2008-09,5.60%,-,-,6' 1.5'',6' 2.5'',8' 1.5'',201,6' 6.25'',11.19,-,3.19,29.5,34.5,21
Brian Butch,C-PF,2008-09,10.80%,-,-,6' 9.5'',6' 11'',9' 0'',229.6,6' 11.25'',11.87,-,3.52,24,26.5,9
Jamar Butler,PG,2008-09,6.00%,-,-,6' 0.25'',6' 1.5'',8' 1'',182,6' 4.75'',-,-,-,-,-,15
Pat Calathes,SF-PF,2008-09,7.30%,-,-,6' 8.75'',6' 9.75'',8' 10'',204,6' 9.75'',-,-,-,-,-,7
Joe Crawford,SG,2008-09,7.60%,-,-,6' 3'',6' 4'',8' 3.5'',213,6' 5.75'',11.67,-,3.22,31,36,13
Chris Daniels,C-PF,2008-09,16.10%,-,-,6' 8.25'',6' 9.5'',9' 1'',256,7' 0.5'',12.72,-,3.56,26,28.5,11
Joey Dorsey,PF-C,2008-09,9.00%,-,-,6' 6.25'',6' 7.25'',8' 11'',265,7' 1.75'',11.84,-,3.2,27.5,33,19
Marcus Dove,SF-PF,2008-09,5.30%,-,-,6' 6.75'',6' 7.5'',8' 9'',208,6' 11.5'',11.59,-,3.26,27.5,33.5,10
Josh Duncan,PF,2008-09,5.40%,-,-,6' 8'',6' 9'',8' 8.5'',230,6' 11.5'',12.47,-,3.26,28,32,26
Frank Elegar,PF,2008-09,4.50%,-,-,6' 7.25'',6' 8.75'',8' 10'',210,7' 3.25'',11.86,-,3.17,33.5,37.5,11
Patrick Ewing Jr.,SF-PF,2008-09,9.40%,-,-,6' 6'',6' 7.25'',8' 1.5'',224,7' 0.25'',11.77,-,3.43,35,42,2
Gary Forbes,SG,2008-09,6.50%,-,-,6' 4.5'',6' 5.75'',8' 8.5'',220.5,6' 11.25'',11.45,-,3.25,27.5,33.5,13
Shan Foster,SG,2008-09,6.30%,-,-,6' 4'',6' 5.25'',8' 7.5'',194.5,6' 11.5'',12.3,-,3.24,30,33,10
J.R. Giddens,SG,2008-09,5.40%,-,-,6' 4'',6' 4.75'',8' 7'',208,6' 11.25'',-,-,-,-,-,10
James Gist,PF,2008-09,4.80%,-,-,6' 7'',6' 8.5'',8' 11.5'',220,7' 4'',11.37,-,3.14,30.5,35,5
Vladimir Golubovic,C,2008-09,6.90%,-,-,6' 11.25'',7' 0.25'',9' 3.5'',258,7' 2.5'',12.4,-,3.33,21.5,27,15
Eric Gordon,SG,2008-09,8.20%,-,-,6' 2'',6' 3.25'',8' 3'',222,6' 9'',10.81,-,3.01,32,40,15
Kentrell Gransberry,C,2008-09,17.40%,-,-,6' 6.75'',6' 7.75'',8' 10'',290,6' 10.25'',12.16,-,3.32,24.5,27.5,18
Donte Greene,SF-PF,2008-09,7.60%,-,-,6' 8.25'',6' 9'',9' 0'',221,6' 10'',11.21,-,3.2,27.5,31.5,2
Malik Hairston,SG,2008-09,6.90%,-,-,6' 4.25'',6' 5.25'',8' 7.5'',204,6' 9'',11.33,-,3.08,30.5,38,13
DeVon Hardin,C-PF,2008-09,5.80%,-,-,6' 9.5'',6' 10.75'',9' 1.5'',235,7' 3'',11.49,-,3.33,29.5,32,20
Richard Hendrix,PF,2008-09,9.20%,-,-,6' 6.75'',6' 8.75'',9' 0'',250,7' 3'',10.62,-,3.27,26.5,28,13
George Hill,PG,2008-09,3.00%,-,-,6' 1.25'',6' 2.5'',8' 1.5'',181,6' 9'',12.2,-,3.07,34,37.5,9
Kyle Hines,SF-PF,2008-09,3.60%,-,-,6' 3.75'',6' 5.25'',8' 8.5'',234,7' 1.25'',12.17,-,3.4,28.5,33,16
Jiri Hubalek,C-PF,2008-09,8.80%,-,-,6' 9.5'',6' 11'',9' 1'',226,6' 10.75'',12.26,-,3.54,20.5,26,2
Lester Hudson,PG,2008-09,3.40%,-,-,5' 11.75'',6' 1'',8' 2.5'',196,6' 8.75'',11.15,-,3.16,30.5,36,12
Othello Hunter,PF-SF,2008-09,6.40%,-,-,6' 6.5'',6' 7.5'',9' 1.5'',220,7' 3'',11.51,-,3.18,28,34.5,7
Darnell Jackson,PF,2008-09,12.50%,-,-,6' 7'',6' 7.75'',8' 10.5'',240.5,6' 11.25'',11.75,-,3.26,27,31,11
Shawn James,PF,2008-09,9.20%,-,-,6' 7.75'',6' 9'',9' 3'',217,7' 5'',-,-,-,-,-,6
Davon Jefferson,SF,2008-09,12.00%,-,-,6' 5.25'',6' 6.5'',8' 9'',213,6' 9.5'',12.02,-,3.36,27,32,2
Joseph Jones,PF,2008-09,12.20%,-,-,6' 7'',6' 8.5'',8' 11'',240,7' 0.25'',11.61,-,3.33,25.5,31,16
DeAndre Jordan,C,2008-09,7.50%,-,-,6' 9.75'',6' 11'',9' 5.5'',250,7' 6'',12.3,-,3.27,26,30.5,8
Sasha Kaun,C-PF,2008-09,9.60%,-,-,6' 9'',6' 10.75'',9' 2'',247,7' 4'',12.06,-,3.2,29,32,13
Marcelus Kemp,SG,2008-09,9.00%,-,-,6' 3'',6' 4.25'',8' 7.5'',221,6' 8.5'',11.79,-,3.39,26,30,9
Maarty Leunen,SF,2008-09,8.90%,-,-,6' 7.25'',6' 8.5'',8' 6.5'',222,6' 8'',11.57,-,3.36,29.5,34.5,14
Longar Longar,C,2008-09,10.60%,-,-,6' 9'',6' 10'',9' 1.5'',212.5,7' 1.25'',-,-,-,-,-,14
Brook Lopez,C,2008-09,6.30%,-,-,6' 11.25'',7' 0.5'',9' 5'',258,7' 5.5'',12.77,-,3.57,27.5,30.5,7
Kevin Love,PF,2008-09,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25'',11.17,-,3.22,29.5,35,18
Aleks Maric,C,2008-09,10.10%,-,-,6' 9.75'',6' 10.75'',9' 1.5'',273,7' 1'',11.76,-,3.35,23,28,15
O.J. Mayo,SG-PG,2008-09,6.30%,-,-,6' 3.25'',6' 4.25'',8' 3.5'',200,6' 6'',11.04,-,3.14,30.5,41,7
James Mays,PF,2008-09,8.80%,-,-,6' 6.75'',6' 7.75'',8' 9'',227,7' 1.75'',11.23,-,3.19,29.5,35,13
Luc Mbah a Moute,SF,2008-09,7.00%,-,-,6' 5.75'',6' 7.5'',8' 7.5'',221,7' 2.5'',11.71,-,3.17,32,38.5,11
JaVale McGee,C-PF,2008-09,5.30%,-,-,6' 11'',7' 0'',9' 6.5'',241,7' 6'',12.75,-,3.25,27,32.5,7
Drew Neitzel,PG,2008-09,6.20%,-,-,5' 11.75'',6' 0.75'',7' 11'',175.5,6' 2.5'',11.19,-,3.2,25.5,32,10
DeMarcus Nelson,PG-SG,2008-09,4.50%,-,-,6' 1'',6' 2.25'',8' 2.5'',198,6' 10'',10.54,-,3.13,34.5,38.5,19
David Padgett,C-PF,2008-09,9.00%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',239.5,7' 1'',12.45,-,3.45,24,28,17
Jeremy Pargo,PG,2008-09,7.60%,-,-,6' 0.5'',6' 1.5'',8' 0'',208,6' 5'',10.65,-,3.07,32,37,7
Trent Plaisted,PF,2008-09,11.00%,-,-,6' 9.25'',6' 10.25'',8' 9.5'',240,6' 10.5'',11.32,-,3.17,30.5,35.5,14
Quan Prowell,SF-PF,2008-09,6.50%,-,-,6' 6.75'',6' 7.75'',8' 7.5'',225.5,6' 10.5'',11.79,-,3.14,32,36,16
Shaun Pruitt,C-PF,2008-09,13.80%,-,-,6' 8.25'',6' 9'',8' 11.5'',242.2,7' 1'',11.3,-,3.4,27,32.5,10
Anthony Randolph,PF-SF,2008-09,4.70%,-,-,6' 9'',6' 10.25'',9' 1'',197,7' 3'',11.86,-,3.26,29,35,7
Charles Rhodes,PF,2008-09,10.70%,-,-,6' 7.25'',6' 8.25'',8' 11.5'',244,6' 11.25'',11.51,-,3.13,26.5,33.5,14
John Riek,C,2008-09,11.00%,-,-,6' 10.5'',7' 0'',,237,7' 8.75'',-,-,-,-,-,-
Brian Roberts,PG,2008-09,3.60%,-,-,6' 0.25'',6' 1.25'',7' 11'',173,6' 1.25'',10.65,-,3.05,31.5,36.5,10
Russell Robinson,PG,2008-09,7.40%,-,-,6' 0.5'',6' 1.5'',8' 4.5'',196,6' 8'',11.3,-,3.15,25,31.5,8
Richard Roby,SG-SF,2008-09,9.20%,-,-,6' 4.25'',6' 5.5'',8' 8'',203,6' 9.75'',-,-,-,-,-,-
Derrick Rose,PG,2008-09,4.60%,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196,6' 8'',11.69,-,3.05,34.5,40,10
Sean Singletary,PG,2008-09,4.20%,-,-,5' 11'',6' 0'',7' 11'',183.8,6' 4.5'',-,-,-,26,-,18
Ronald Steele,PG,2008-09,8.10%,-,-,6' 0.25'',6' 1.5'',8' 1.5'',183.5,6' 4.25'',11.08,-,3.26,25,29.5,5
Mike Taylor,SG-PG,2008-09,3.80%,-,-,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25'',10.98,-,3.08,31,39,2
Bryce Taylor,SG,2008-09,8.30%,-,-,6' 2.75'',6' 4.25'',8' 3.5'',210,6' 9'',11.08,-,3.19,34.5,41,16
Mark Tyndale,SG-SF,2008-09,6.70%,-,-,6' 2.75'',6' 3.5'',8' 7.5'',217,6' 11'',12.52,-,3.14,27,33.5,5
Robert Vaden,SG,2008-09,6.20%,-,-,6' 3.5'',6' 4.5'',8' 5'',199,6' 8'',11.97,-,3.4,26,29.5,10
Deron Washington,SF,2008-09,7.20%,-,-,6' 5.25'',6' 6.25'',8' 6.5'',198.5,6' 9'',11.03,-,3.09,34,40,7
Sonny Weems,SG-SF,2008-09,4.40%,-,-,6' 4'',6' 5.5'',8' 8'',193,6' 10'',10.58,-,2.96,29,36.5,12
Russell Westbrook,PG,2008-09,4.80%,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75'',10.98,-,3.08,30,36.5,12
Reggie Williams,SG,2008-09,5.30%,-,-,6' 3.25'',6' 4'',8' 7'',199,6' 9.25'',11.32,-,3.07,31.5,36.5,15
Jeff Adrien,PF,2009-10,7.90%,-,-,6' 5.25'',6' 6.5'',8' 11.5'',236.2,7' 2'',11.34,-,3.32,27.5,31.5,16
Jeff Ayres,PF,2009-10,5.50%,-,-,6' 8.75'',6' 10'',8' 11'',239.6,7' 1'',11.98,-,3.14,31,35,15
Rodrigue Beaubois,PG,2009-10,7.90%,-,-,6' 1.25'',6' 2.25'',8' 4'',182.4,6' 9.75'',10.49,-,3.15,29.5,39,3
DeJuan Blair,PF,2009-10,12.00%,-,-,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2'',11.5,-,3.45,26,33,18
Derrick Brown,SF-PF,2009-10,8.60%,-,-,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5'',11.26,-,3.13,30.5,35.5,20
Chase Budinger,SF-SG,2009-10,10.00%,-,-,6' 6.25'',6' 7'',8' 5'',206.4,6' 7'',11.08,-,3.24,29.5,38.5,10
DeMarre Carroll,PF-SF,2009-10,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10'',-,-,-,-,-,-
Omri Casspi,SF,2009-10,8.60%,-,-,6' 7.75'',6' 9.25'',8' 10.5'',211.2,6' 9.25'',11.15,-,3.28,25.5,32.5,2
Dionte Christmas,SG,2009-10,7.10%,-,-,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9'',10.83,-,3.21,27,33.5,3
Earl Clark,SF-PF,2009-10,5.20%,-,-,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5'',11.17,-,3.35,28.5,33,5
Darren Collison,PG,2009-10,5.70%,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3'',10.45,-,3.1,30.5,33.5,9
Dante Cunningham,PF,2009-10,4.80%,-,-,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11'',11.18,-,3.26,28,35,18
Stephen Curry,PG-SG,2009-10,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5'',11.07,-,3.28,29.5,35.5,10
Austin Daye,SF-PF,2009-10,5.50%,-,-,6' 9.75'',6' 10.75'',9' 2'',191.8,7' 2.75'',12.11,-,3.55,25,28,-
DeMar DeRozan,SG-SF,2009-10,4.90%,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9'',11.88,-,3.31,29,38.5,5
Toney Douglas,PG,2009-10,5.20%,-,-,6' 1'',6' 2'',8' 1.5'',183.4,6' 6'',10.63,-,3.03,28,32.5,15
Wayne Ellington,SG,2009-10,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5'',11.14,-,3.2,31.5,38,13
Tyreke Evans,PG-SG,2009-10,7.10%,-,-,6' 4'',6' 5.25'',8' 8'',220.6,6' 11.25'',11.81,-,3.17,28.5,34,7
Jonny Flynn,PG,2009-10,6.30%,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4'',10.86,-,3.23,33,40,10
Taj Gibson,PF,2009-10,6.60%,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4'',11.56,-,3.41,25.5,30,12
